Name,Job title,Organization,What are you working on in the field of social and economic justice?,What do you need from the Delegate community to move this work forward?,What are you able and willing to contribute to the Delegate community?
Liz Fischelis (she/her),Director of Intermediary Programs,Haiti Development Institute at the Boston Foundation,"Development assistance in Haiti has focused too much on providing services in place of the government, and not enough on leadership and institutional development so that local communities can set and implement their own development agendas. Haiti Development Institute (HDI) builds the capacity of community-based organizations by providing grant support coupled with accompaniment and coaching. We support community mobilization and serve as a civic leader. We help funders support localization of development assistance by serving as a philanthropic intermediary. I raise funds for our work and help donors connect to support capable local organizations and community development. I also help HDI build systems to measure our impact and support community-based organization leaders to do the same for their programs and projects.",I want to learn from models of others doing this work. I am interested in tools and data programs that have been deployed in similar contexts to track impact. I am interested in learning about experiences in impact investing and/or enterprise development in agriculture in low-income countries.,I would love to share HDI's models for capacity building and grantmaking to community-based organizations in rural Haiti. I can contribute an open mind and ears eager to learn and share with others.
Pamela Nathenson,Executive Director,World Connect,"As stated above, World Connect is co-investing with communities in their development visions. Our model of investing is important not only because it enables the achievement of vital development objectives but also shifts power by embarking on projects in partnership with communities, ensuring community ownership and leadership is foundational in all we do. We have launched three community-based co-investment hubs -- in Malawi, Rwanda, and New York City -- as we move to further shift power and leadership on development to the most proximate loci.","Partnership, visibility, support.","Our community co-investment experience and model, organizational growth and management experience, fundraising successes and failures, lessons learned, investment partnership where there is synergy."
Chad Bernstein (he/him),President/CEO,"Guitars Over Guns Organization, Inc.","At Guitars Over Guns, we are elevating the voices of youth from vulnerable communities through mentorship and creative expression. We are breaking cycles by empowering young people to reach their full potential through music and the arts.","The Delegate community will inspire us through their vision and action, provide us with a robust network of best practices in the social impact field, and uplift us through like-minded friendships that will carry into our daily work.","In addition to filling OC with electrifying and joyful music, we wish to contribute our lived experiences as alumni, founders, and practitioners of an impactful nonprofit that serves youth in a meaningful way."
Christopher Turillo (he/him),Co-Founder,Medha,Equal career opportunities for youth,"Ideas, investment, inspiration","Ideas, whatever learning materials and experience we have as an organization. Connections that might be helpful."
Moiyattu Banya-Keister (she/her),Communications and Strategy Lead,WCA Creatives LLC & Afriwomen Powered by AWDF-USA,"As lead of my communications firm called WCA Creatives that supports women led businesses and organizations to become powerful communications and innovators, I am looking to build new relationships within the ecosystem. My work with women and girls over the last decade has been through my co-founded non for profit organization Girls Empowerment Sierra Leone a social impact organization that supports the leadership and activist capacities of girls in Sierra Leone. I also serve on several board including communications lead of the Afriwomen network of the African Women's Development Fund-USA, Leading Ladies Africa, and the Dreamer Girls Project.","New connections, funding opportunities, business opportunities in communications and strategy development and new ways of thinking about my work with women and girls.","Decade long experience of starting up a girls non for profit organization, working in philanthropy related to women and girls. I also hope to offer new connections to new delegates, new ideas in thinking about their work around women and girls/philanthropy, a sense of hope and new possibilities for their work."
Kaley Howard (she/her),Mentor,"Guitars Over Guns Organization, Inc.","At Guitars Over Guns, we are elevating the voices of youth from vulnerable communities through mentorship and creative expression. We are breaking cycles by empowering young people to reach their full potential through music and the arts.","The Delegate community will inspire us through their vision and action, provide us with a robust network of best practices in the social impact field, and uplift us through like-minded friendships that will carry into our daily work.","In addition to filling OC with electrifying and joyful music, we wish to contribute our lived experiences as alumni, founders, and practitioners of an impactful nonprofit that serves youth in a meaningful way."
Michelle Donnelly (she/her),Mentor & Social Media Specialist,"Guitars Over Guns Organization, Inc.","At Guitars Over Guns, we are elevating the voices of youth from vulnerable communities through mentorship and creative expression. We are breaking cycles by empowering young people to reach their full potential through music and the arts.","The Delegate community will inspire us through their vision and action, provide us with a robust network of best practices in the social impact field, and uplift us through like-minded friendships that will carry into our daily work.","In addition to filling OC with electrifying and joyful music, we wish to contribute our lived experiences as alumni, founders, and practitioners of an impactful nonprofit that serves youth in a meaningful way."
Elio Gomez (he/him),Mentor,"Guitars Over Guns Organization, Inc.","At Guitars Over Guns, we are elevating the voices of youth from vulnerable communities through mentorship and creative expression. We are breaking cycles by empowering young people to reach their full potential through music and the arts.","The Delegate community will inspire us through their vision and action, provide us with a robust network of best practices in the social impact field, and uplift us through like-minded friendships that will carry into our daily work.","In addition to filling OC with electrifying and joyful music, we wish to contribute our lived experiences as alumni, founders, and practitioners of an impactful nonprofit that serves youth in a meaningful way."
Caleb Alcime,Programs Associate,"Guitars Over Guns Organization, Inc.","At Guitars Over Guns, we are elevating the voices of youth from vulnerable communities through mentorship and creative expression. We are breaking cycles by empowering young people to reach their full potential through music and the arts.","The Delegate community will inspire us through their vision and action, provide us with a robust network of best practices in the social impact field, and uplift us through like-minded friendships that will carry into our daily work.","In addition to filling OC with electrifying and joyful music, we wish to contribute our lived experiences as alumni, founders, and practitioners of an impactful nonprofit that serves youth in a meaningful way."
J Howard (he/him),Community Engagement Coordinator,"Guitars Over Guns Organization, Inc.","At Guitars Over Guns, we are elevating the voices of youth from vulnerable communities through mentorship and creative expression. We are breaking cycles by empowering young people to reach their full potential through music and the arts.","The Delegate community will inspire us through their vision and action, provide us with a robust network of best practices in the social impact field, and uplift us through like-minded friendships that will carry into our daily work.","In addition to filling OC with electrifying and joyful music, we wish to contribute our lived experiences as alumni, founders, and practitioners of an impactful nonprofit that serves youth in a meaningful way."
Hailey Barth (she/her),Grants Manager,EverFree,We empower survivors and communities by deploying data-driven programs and solutions that effectively equip the global movement to end human trafficking.,"We need grant support, technical advice and new opportunities.","Info on HT, grants"
Gregg Cannady (he/him),Educator - AI - Global STEM Collaborations,Tinman Kinetics & DSST Public Schools,"Education accessibility, enablement, and technology empowerment through artificial intelligence. 

Globally empowering students voices via mentorships with industry leaders:  When students are driving authentic experiential learning, teachers are facilitating, and industry SME are inspiring and informing via simple mentorship . . . miracles in learning happen. Students are ready to thrive in future careers and lives. 

The secret sauce is made up of ingredients that include co-designing learning,  collaboration on solving real-world problems, project management, communication,  and Building Ships (relationships, mentorships, friendships, global citizenship, leadership, etc.)",Ideas to scale a proven approach to learning for ALL children. New support for opportunities and collaboration bridging technology with a learning approach that can reach everyone.  We can elevate the voices of the underserved and build sustainable learning relationships  to life.,"Cutting edge technology solutions designed to work with human experience.  

An approach to collaborative learning with a framework that works for every child in every zip code.   I'd love to share examples in aerospace, water, and environmental science.

We are in the 4th year of a global collaboration called Martian Greenhouse. Students go from knowing very little about aerospace to creating mind-blowing solutions. 
 
Belize

https://youtu.be/VUoKfrtao5Y 
https://youtu.be/sZXwENuNMQw 

Peru
https://youtu.be/KX5sWN_lBUQ

UK
https://youtu.be/NSHn-hQu3To

US
https://youtu.be/OxmMUXR_g7E
https://video.wixstatic.com/video/fa5cb4_b13e9f06e1fe4b5b815f62b65d5dbc93/1080p/mp4/file.mp4 

CUBESATS
YouTube Post: https://youtu.be/d4OfNXJdVwU    

·       DSST Student Post: https://www.instagram.com/reel/CtZZFLZLaUl/?utm_source=ig_web_button_share_sheet


Peru
https://www.onevoice4change.org/post/cubesats-in-peru-october-2022 

Justin Williams and Tinman Kinetics have some great ways to use AI to tell the stories that ultimately elevate voices that usually get ignored.  My work at DSST Public Schools in Denver, like so many educational organizations, is searching for the AI solutions, and how technology can be used to reach EVERY child . . . lifting them out of poverty and allowing their voices to be heard for social justice around the world.  

My work previous to One Voice 4 Change and DSST was developing a virtual connection to learning in a room called THE SYNK. https://stemk12.org/academics/the-synk/ 
I worked with the co-founder of Polycom to design an environment capable of experiential learning reaching everyone.  Scrolling down to the stories you will see that we worked with China, Ukraine, and multiple rural schools in Colorado.

https://docs.google.com/presentation/d/1LVK0SP25xG4VcO8-E0ULp_N3CzK7_cWAQsGv2rtvjzs/edit?usp=sharing"
Jasmine Anouna (she/her),Founder,The Bloom,"I'm building the ""LinkedIn"" for social and economic justice; a global safety net to inspire growth, connection, and joy in social impact careers. By word of mouth, we scaled from 15 friends to 40,000+ diverse women through our award-winning weekly newsletter, events around the world, and digital community platform.","The Bloom is at a pivotal point: over 40,000 phenomenal leaders have joined our community organically, we're facing exponential growth both on B2B and B2C since March 2023, and we're excited to bring in the external financial support and business expertise to scale our impact. In the Delegate community, I welcome meeting values-aligned funders for our fundraising round for full-time hires – we aim to onboard our team mid-November.","1) I'm a facilitator of creative questions for deep connection; I'm happy to curate experiences for the Delegate community to help us reflect in ways many never have before. 

2)Storytelling support: For fellow organizations and enterprises fundraising, I'm happy to feature the stories of your work to our global audience at The Bloom with over 40,000 incredible impact leaders across SDGs, many of whom are wonderful philanthropists, investors :) 

3)I adore slow media, have experience going from an introverted overthinker online to becoming one of top social impact creators on LinkedIn, all without following conventional ""rules"" of social media – I'm happy to support you with tender guidance for building a values-aligned relationship to social media for thoughtful storytelling."
Odomitchi Anikpo (no preference),Founder,Adei Institute of Technology,"Driving socioeconomic development through technology in Côte d'Ivoire, as well as West and Francophone Africa, by fostering opportunities for talent and innovation","Collaboration opportunities, Connections, Investment Capital or Grant opportunities","Technical assistance in engineering for impact focused software projects, plus access to investable tech startups pipeline focused on francophone africa along with (on the ground) post investment support"
Freddy Rumeci,Communications Manager / Resource Mobilization,FVS-Amie des Enfants,"FVS-AMIE DES ENFANTS, formerly known as FVS-AMADE BURUNDI, is a non-profit association founded in 1992 by volunteers to help AIDS patients and their children. Following the armed conflicts in Burundi and the Great Lakes Region, FVS has committed itself to respond to the needs of many orphaned and vulnerable children (OVC): in 2021, ISTEEBU (Burundi's official statistics service) estimates that 73.9% of Burundians are living in poverty; and 8.4% of minors are orphans, particularly children aged 10-14 and 15-17 (12.6% and 17.4% respectively).FVS has resolved to work for the protection of the rights of OVC, their access to basic social services and the economic self-promotion of vulnerable households for the well-being of children. To achieve this, it has innovated by initiating a community-based approach to OVC care based on the value of solidarity according to the Burundian wisdom ""Umwana si uw'umwe"" (""a child does not belong to one person but to the whole community""). The approach consists in creating Child Protection Committees (CPC) in every community and Village Savings and Loan Associations (VLSA) or Solidarity Groups (SG) that work for the economic self-promotion of households and the care of OVC in their communities.Thus, the members of VSLA/SG contribute every week in 3 funds: the ""actions fund” to grant credits for income generating activities, the “mutual aid fund” to support the members of the SG and the “OVC fund” to buy and distribute school kits to vulnerable children. Indeed, among the many needs of OVC, FVS considers education to be the best service provided to an OVC child because it allows him/her to become an autonomous adult and responsible for his/her life and thus transform his/her life in a sustainable way.We have also created several institutions in order to strengthen our action. In order to sustain the access of OVC to quality education, the secondary school “Amie des Enfants” was created. To support the economic growth of the members of the VSLA, a microfinance institution, ""Dukuze Microfinance"", was created. The mutual health insurance ""TUZOKIRA TWESE"", the center for the promotion of solidarity entrepreneurship ""CPES"" which promotes solar lamps and the center ""Agateka k'abana"" for children's rights were also created.FVS is also recognized by the major development partners in Burundi. The ""OVC fund"", an innovation of FVS recognized by UNICEF as an essential asset for the sustainable improvement of education, has become a requirement for all UNICEF partner solidarity groups. And the government has recognized our Child Protection Committee approach as effective and sustainable: the Ministry of Social Action has integrated it into the national child protection policy since 2012 (FVS had been implementing it since 2002).",Fundraising techniques especially on self sustainability i.e running income generating projects that fund non profit service,Our experience with promoting and protecting vulnerable children's rights and well-being and our experience with village savings and loans associations in empowering and uplifting poor and vulnerable communities.
Edward Thomas Porokwa,Executive Director,PINGOs Forum,Human right for indigenous peoples,partnership and collaboration,attainment of human rights
Scott Roy (he/him),CEO and Cofounder,Whitten & Roy Partnership,"Innovative and effective distribution of life-changing goods and services, livelihoods opportunities for economically disadvantaged",Conversations and connections,"Listening, understanding, relating, and offering expertise as requested and appropriate. Extensive experience in applying business skills and strategies in the Impact space in the Global South."
Chid Liberty (no preference),CEO,Liberty & Justice,Impact transformations and other cool stuff.,Institutional LPs,Technical assistance
Chrissy Garton (she/her),Philanthropic Strategy,Garton Strategic Advisors,"philanthropy, education, civic engagement, health equity, social innovation","an open mind and open schedule, to new opportunities and ideas","strategic advising, organizational and program strategy for grant makers, nonprofits, and social enterprises."
Kim McCall (she/her),Head of US and Managing Director,Yamba Malawi,"In my commitment to social and economic justice, I'm currently leading Yamba Malawi in the US with a focused mission to end childhood poverty. This involves transformative initiatives like decolonizing leadership and expanding outreach. Through my nonprofit consultancy, I collaborate with organizations such as Save the Children and the UN's anti-human trafficking initiative. Furthermore, my founding of the Juice Box Project underlines my dedication to youth entrepreneurship and addressing the opportunity gap. Serving on Manhattan Community Board Five and my prior roles have amplified my contributions in the field, particularly in educational initiatives and community impact.","To advance the impactful initiatives I'm leading, I would greatly benefit from the Delegate community's support in several ways: 1. Network Expansion: Connections to organizations or individuals aligned with our mission, especially those addressing childhood poverty, youth entrepreneurship, and decolonizing leadership in the nonprofit sector. 2. Collaborative Opportunities: Opportunities to collaborate on events, webinars, or workshops that align with our goals, particularly in areas of economic empowerment and justice. 3. Resource Sharing: Access to research, best practices, or tools that can enhance our approach, especially related to nonprofit management and leadership. 4. Mentorship & Knowledge Exchange: Engaging in mutual learning sessions where we can share experiences, challenges, and solutions. 5. Awareness & Advocacy: Amplifying our mission, programs, and initiatives through the community's channels to garner wider support and awareness. Your support in these areas would be invaluable in propelling our work further and making a lasting difference in the communities we serve.","Given my extensive experience in nonprofit leadership and my dedication to social and economic justice, I offer the Delegate community: 1. Expertise Sharing: I can lead workshops or conversations on nonprofit management, scaling impact, revenue growth strategies, team development, and decolonization, drawing from over 25 years of experience. 2. Mentorship: I'm available for one-on-one sessions or group discussions, offering guidance to emerging nonprofit leaders or those looking to pivot into this sector. 3. Collaborative Ventures: I can offer collaborative opportunities for projects or initiatives that align with the objectives of Yamba Malawi. 5. Networking Opportunities: Introductions to a diverse range of stakeholders. 6. Knowledge in Academic Pursuits: As a lecturer at Columbia University and a Ph.D. student at Pepperdine, I can contribute academic rigor and perspectives to discussions or research projects. I'm deeply committed to fostering a collaborative spirit and believe that by sharing our resources and knowledge, we can collectively amplify our impact in the realm of social justice."
Seymour Nesbeth (he/him),Training Coordinator,Life In Abundance Global Institute,"Equip Church Leaders, Christian Organizations, and Community Leaders in Wholistic Transformational Development",Technical Advice and Support,The model of ministry that we practice and partner with other ministries and organizations.
Wenceslas Djokpé (he/him),"Director of program quality and Partnerships, Men and boys Engagement",Batonga Foundation,Engaging Men and Boys to girls and young women programmings,Best practices sharing,Share the lesson learned on conducting the programs in West Africa and Francophone contexts with delegates How non profit organizations can take advantage of engaging Men and Boys as allies and great support to their work
Sophie Snowden (they/them),"Program Officer, Giving By All, Philanthropic Partnership Team",Bill and Melinda Gates Foundation,I am part of the team building a forthcoming participatory grantmaking fund focused on giving infrastructure that advances racial equity.,"This will be the first PGM my team is involved in, and I'd love to gain insights from others who have participated in PGM processes, from various perspectives, to inform that work. I'd also like to be in greater community with a broader set of organizations than our existing partners. We also welcome aligned co-funders!",I can share insights into grantmaking processes at a large philanthropic institution. I am happy to make connections between delegates and my network or colleagues at the foundation with aligned work.
Jason Friesen (he/him),Founder / Executive Director,Trek Medics Intl,Improving access to rapid emergency care and transport for at-risk and vulnerable populations.,,
Shanté Cosme (she/her),Chief Content Officer,Global Press,"Our goal is to create a new model for international news that centers local perspectives and shifts stereotypical global narratives to create a more inclusive, equitable media landscape— and more informed, interconnected world.","Funding to grow our team, produce ambitious journalism, and scale our operation for maximum impact.","My expertise in branding, content, and audience. Happy to support anyone who needs it in any way I can."
Ron Boehm,Principal,Boma Investments LLC,More equitable opportunity. If this is a general question: scaling effective and efficient actions for positive social and environmental improvement.,Enough curiosity and self- interest to learn about what improvements might benefit their organizations or their goals,"Sharing perspectives and what I have learned in fifteen years of impact investing, for the funders and for the potential fundees."
Kristin Boehm Nielsen (she/her),Associate,Boma Investments LLC,"Capacity building, sustainable economic ecosystems","Let me know what you, social entrepreneurs, need to succeed!","Authentic conversations around social entrepreneurship, startup community"
Nora Jeanne Joseph (she/her),CEO,RADIKAL,I am the founder of a social enterprise that is focusing on strengthening food security through micro entrepreneurship.,Connection,Connection
Akiera Gilbert (she/her),Director,Echoing Green,"My role is two-fold -- 1. At Echoing Green, I'm building pipelines to social innovation for emerging proximate leaders! From there, we find, invest, and fund those who will create immense social change. 2. As a social innovator at Body Reborn, I'm creating culturally-relevant ways for people of color to heal their eating disorders, instead of having to rely on treatments that are often unaffordable, inequitable, and ineffective.","A broader ecosystem, including connections to other social impact leaders, grantmakers, and investors to deepen the collective change we can enact.","As a social innovator, an impact investor, and a person who focuses on creating opportunities for other social impact leaders, I hope to contribute new opportunities for individuals and the collective, through a culture of care and understanding. Furthermore, I can source and provide grant opportunities, technical advisement in social entrepreneurship (e.g. creating earned income streams in nonprofit and hybrid organizations), and personal connections."
Marlys Boehm (No preference),Principal,Boma Investments LLC,Everything!,Desire to make progress in their work,"Time and energy, sharing of additional resources and networks as appropriate"
Katya Moniz (she/her),"Director, Global Microbiome Conservancy Program",OpenBiome,"OpenBiome advances global microbiome research to reduce disparities in health and scientific capacity.

The long version: OpenBiome is a non-profit microbiome health organization. We got our start 10 years ago as a stool bank, and have since provided almost 70,000 fecal microbiome transplants for patients with a debilitating and sometimes fatal gastrointestinal infection (C. difficile) that didn't respond to antibiotics. 

We focus on addressing gaps in microbiome research that are not being met by prevailing academic/biotech/pharma models, and where we believe the microbiome can provide an affordable, scalable solution to an urgent health need -- for example, severe acute childhood malnutrition.

My program at OpenBiome, the Global Microbiome Conservancy, specifically focuses on increasing global representation in microbiome science -- a field that has tremendous potential to improve health around the world but is vastly skewed towards US and European populations -- and building microbiome research capacity in the Global South. We are also developing a model for returning benefits (financial or in-kind) to the communities who participate in our research studies, and hope to offer this framework as a guide for equitable scientific practices more broadly.","I'd love to grow my network and meet more likeminded people at the intersection of science and its social impacts.  I'm also seeking guidance on how to find funders who understand the value of inclusive, global science and research capacity -- and the importance and complexity of getting the ethics right. 

Finally, I'd love to gain perspectives from thought leaders in community empowerment, as well as stakeholders in Global South government, academia, industry, etc., on benefit-sharing, developing capacity and infrastructure, and building paths for rapid implementation of health interventions at scale.",Perspectives on science as a key tool for social and economic justice
Shazia Shariff (she/her),Founder and CEO,Leaders,Empowering transformational grassroots youth and women leadership across Africa to drive equitable and sustainable system change based on their lived experience and intergenerational partnerships,Authentic relationships and partnership,"Support, expertise, connections and however else I can be helpful"
Andy Thornton (he/him),Managing Partner,Silvan Ingredient Ecosystem PBC,Sustainable and regenerative agricultural supply chains.,Connections to outstanding ingredient producers. Networking for best practices in the space.,Fundraising experience. Connections with US and EU impact focussed brands. Certification experience. Business and partnership modeling experience.
Katherine Pease (she/her),Managing Director,Pathstone,"Gender Justice 
Climate Justice
Food Justice",New learning and innovative ideas plus thought partners with current work,Knowledge about total-portfolio investing
Grace Roberts (she/her),Brand Manager,Paths,healthcare reform and patient advocacy,connections,"creativity, energy, ideas"
Kermit Farmer (he/him),Chief Ethos Officer,Paths,"Health care education and reform, patient advocacy","support, connections, encouragement, ideas, funding","enthusiasm, ideas, connections"
Susan Babirye (she/her),Deputy Executive Director,Kabubbu Development Project,"We are advancing equity in health, education and livelihoods with focus on the most ma rginalized populations including children, youth and women. We operate a health facility at level IV which provides comprehensive and affordable patient centered health care services. We also run three education institutions that provide quality education at primary, secondary and vocational/tertiary levels. We also engage in community programming activities to improve household incomes for the vulnerable communities. We believe that this holistic approach to community development will drastically shift the present and future of this young population.",connections with new people to foster collaborations that will catalyze access to investment to scale and sustain my work. I also need access to technologies and technical assistance to improve efficiency of operations and impact.,Share experience and knowledge of working in resource limited settings but achieving great impact and putting a smile on peoples' faces.
Shaady Salehi (she/her),Executive Director,Trust-Based Philanthropy Project,narrative and culture change in philanthropy,"ideas, insights, potential funding","ideas, insights, connections"
Marlou Cornelissen (she/her),Founder,Period Reality,Social justice,"People to share ideas with, potential funders, clients, academics to collaborate on research with, tapping into communities, sharing our resources.","Everything I have that is relevant for the other person, be it"
Alicyn Yarbrough (she/her),Chief Executive Officer,A Glimmer of Hope,A Glimmer of Hope focuses on solving the complex challenges of poverty by creating better opportunities for women and girls and addressing the threat of climate change on the most vulnerable communities in rural Ethiopia. I guide the development and expansion of the organization's community-led approach that creates a network of lifesaving services.,"I am looking for opportunities for funding and collaboration as we look to expand our impact across Ethiopia and address the critical need for recovery in Tigray, along with information on best practices and innovative solutions, and peer support from similar individuals and organizations addressing global challenges","Glimmer brings expertise in Ethiopia as our sole focus for 23 years, insights on recovery work in the Tigray region as we implement long-term agricultural and trauma support after two years of civil war, and an emphasis on collaboration on localization efforts. Additionally, I am excited to contribute my experience, network, and connections with the Delegate community."
Vijay Raghunathan (he/him),Co-Founder,Propel,Digitalizing social organizations in Latin America to maximize their impact.,New partnership opportunities and grant funding to scale our work to Mexico.,Data on digital maturity of social organizations in Latin America and the co-relation to amplifying impact.
Kimberlin Butler (she/her),Senior Director of Foundation Engagement,Mathematica,"A connector, convener, and collaborator, I build bridges across communities, advance youth-focused philanthropy, catalyze youth/education investments and other goals to deepen social impact.",Thought partnership Ideas and spaces to plug in Insights and opportunities to access new levels of leadership as a Chief Youth Possibility Catalyst,"As an equity-focused bridge-builder for social impact, I can offer thought partnership, a listening ear, support, and wisdom anchored in lived experience, grounded community and leadership."
Ruth Ndyabahika (she/her),Founder and CEO,Grace Villa Foundation,"We create a safe space for the under protected girl child. Situations range from rescuing a child from a forced child marriage, to advocating for a rape victim. From the moment she walks in through our gate she is safe. We dedicate ourselves to not just stop at rescuing a child, but to raise ladies who are intellectually & vocationally competent, culturally aware, self confident, compassionate & committed to being of service to others. 

Grace Villa achieves this through running realistic, relevant programs and interventions that spill over into the community, and several of our girls are already making an impact as outstanding achievers in schools, the community, and various walks of life around the world. 

These interventions include making sure that each child receives a safe nurturing home","I greatly look forward recharging! Through just being in the same space with like minded people, to uplift, encourage, learn from, exchange best practices and mentor each other. It all sounds wonderful. 

Some of the topics that i hope to find there would be regarding solving problems in logistics, board growth and engagement within the charity space.

I hope to find partnerships, support, collaborations and investment advisors to help move our work at Grace Villa and our girl empowerment programs forward.","Sharing our lived experiences: ongoing struggles, lessons learnt, as well as joys and successes over the past 10 years as a young female founder who lives on the ground with the children we serve in a very beautiful yet misogynistic space."
Mpindi Abaas (he/him),CEO,Media Challenge Initiative,"We are building the next generation of journalists who are passionate about using journalism to create social change. Our young journalists believe that good journalism can make the world a better place. Our programs are anchored on principles of journalism for social justice, solutions journalism, challenging negative narratives, journalists as leaders and empowering young journalists to become multimedia storytellers. Through a solutions journalism angle, we empower young journalists to study their local systems and hold their leaders to account with a positive inquiry perspective. Social and economic justice is key. Journalism plays a key role in educating and informing the people about their realities, the struggles and showing what other people are doing about the daily social and economic struggles. This is why our work of building the next generation of journalists is very important.","I need strategic connections for future scaling of our work both in Uganda and around Africa. OC has a huge community of investors, donors and leaders working on the continent that will provide me with opportunities, ideas and resources to scale. We are currently developing our 2024 to 2027 strategic plan that covers new interventions that address global challenges using media like climate change, misinformation and media sustainabilty. I am coming to OC to meet likeminded leaders who are creatively working at the frontlines of addressing these same challenges in their communities. I am looking forward to developing meaningful relationships and connecting with the OC network in order to broaden my understanding of the issues and develop effective and impactful strategies. I am thrilled to be a part of OC's mission to build sustainable solutions to poverty and injustice","I have extensive expertise developing long-term and effective initiatives that combine intersectional solutions between media and the SDGs to combat poverty. I therefore come to OC to share my experience with any delegates who are striving to use media in their communities to generate long-term social change. I created a youth media fellowship to address the issue of youth unemployment in Uganda. It has been very successful. This is an example of a best practice that can be reproduced throughout Africa. I'd also like to meet delegates who are working to change historical negative myths in their communities, particularly in poor communities. Finally I am excited to interact with delegates about my experiences combatting disinformation and misinformation in their communities."
Aimable Mpayimana (he/him),"Partnership Manager, East Africa",Woven Foundation,Creating funding access to proximate leaders impacting their own local communities,Advocate for proximate leaders that are changing their own communities,More connections and honest conversation that uplift social entrepreneurs.
